Age (Months),Sex,Height (cm),Nutritional_Status
0,Female,42.19578417,severely stunted
0,Female,54.81733957,Tall
0,Female,43.7021084,stunted
0,Female,41.40034757,severely stunted
0,Female,40.7482182,severely stunted
0,Female,57.12485938,Tall
0,Female,43.29577131,severely stunted
0,Female,50.94519058,normal
0,Female,40.85671083,severely stunted
0,Female,48.6919213,normal
0,Female,41.67847203,severely stunted
0,Female,57.456447,Tall
0,Female,40.23594405,severely stunted
0,Female,52.18537362,normal
0,Female,58.78493868,Tall
0,Female,42.46339332,severely stunted
0,Female,51.34050563,normal
0,Female,53.84271986,normal
0,Female,59.90746508,Tall
0,Female,55.70447696,Tall
0,Female,42.6797723,severely stunted
0,Female,55.42391439,Tall
0,Female,55.17829574,Tall
0,Female,41.19994289,severely stunted
0,Female,53.44257977,normal
0,Female,41.34713806,severely stunted
0,Female,53.9522208,normal
0,Female,55.67840541,Tall
0,Female,55.70456744,Tall
0,Female,45.60760684,normal
0,Female,50.63250044,normal
0,Female,42.74752486,severely stunted
0,Female,50.46391319,normal
0,Female,57.0823974,Tall
0,Female,56.00012335,Tall
0,Female,44.57182324,stunted
0,Female,43.68599873,stunted
0,Female,48.31760496,normal
0,Female,44.74142525,stunted
0,Female,49.85346564,normal
0,Female,58.18383481,Tall
0,Female,49.5732149,normal
0,Female,48.30771569,normal
0,Female,57.45836131,Tall
0,Female,44.09119517,stunted
0,Female,44.46107716,stunted
0,Female,44.48467509,stunted
0,Female,42.86350038,severely stunted
0,Female,46.97445317,normal
0,Female,52.20360572,normal
0,Female,51.37715918,normal
0,Female,47.10850962,normal
0,Female,45.50373989,normal
0,Female,46.58209715,normal
0,Female,40.85593049,severely stunted
0,Female,47.26472325,normal
0,Female,58.87981985,Tall
0,Female,57.01926951,Tall
0,Female,45.90159466,normal
0,Female,40.05813993,severely stunted
0,Female,42.09488479,severely stunted
0,Female,48.60477193,normal
0,Female,52.18854765,normal
0,Female,55.84437815,Tall
0,Female,55.86292909,Tall
0,Female,42.01669489,severely stunted
0,Female,56.44041561,Tall
0,Female,55.25615702,Tall
0,Female,44.50983724,stunted
0,Female,55.71994777,Tall
0,Female,47.79303957,normal
0,Female,55.80958946,Tall
0,Female,41.73880899,severely stunted
0,Female,51.51298133,normal
0,Female,51.86297543,normal
0,Female,59.59208594,Tall
0,Female,53.43001394,normal
0,Female,42.52078455,severely stunted
0,Female,52.75318634,normal
0,Female,51.736006,normal
0,Female,49.19385353,normal
0,Female,56.68451203,Tall
0,Female,40.83481079,severely stunted
0,Female,41.6658598,severely stunted
0,Female,50.44759581,normal
0,Female,43.47202688,severely stunted
0,Female,56.13791813,Tall
0,Female,44.30583307,stunted
0,Female,51.75955779,normal
0,Female,48.23940496,normal
0,Female,59.18321577,Tall
0,Female,41.73872309,severely stunted
0,Female,55.92809538,Tall
0,Female,52.61136006,normal
0,Female,56.67850127,Tall
0,Female,55.92339157,Tall
0,Female,48.50772209,normal
0,Female,41.13323311,severely stunted
0,Female,44.09539138,stunted
0,Female,58.41451093,Tall
0,Female,59.83511212,Tall
0,Female,53.64708783,normal
0,Female,53.73855133,normal
0,Female,52.50921409,normal
0,Female,47.71613494,normal
0,Female,43.9220579,stunted
0,Female,50.81892767,normal
0,Female,40.60253338,severely stunted
0,Female,48.26838187,normal
0,Female,46.858157,normal
0,Female,58.16513469,Tall
0,Female,54.80899896,Tall
0,Female,47.2695952,normal
0,Female,55.16929666,Tall
0,Female,55.82728733,Tall
0,Female,42.77335529,severely stunted
0,Female,55.89546083,Tall
0,Female,59.06152966,Tall
0,Female,46.69726091,normal
0,Female,49.36923694,normal
0,Female,45.43357058,normal
0,Female,48.38652929,normal
0,Female,57.60178817,Tall
0,Female,41.93366246,severely stunted
0,Female,49.672275140000004,normal
0,Female,59.13864546,Tall
0,Female,47.22176575,normal
0,Female,41.60071484,severely stunted
0,Female,50.47792655,normal
0,Female,49.59403407,normal
0,Female,57.31652457,Tall
0,Female,52.78770277,normal
0,Female,47.33297943,normal
0,Female,43.76814166,stunted
0,Female,44.35181466,stunted
0,Female,52.00176565,normal
0,Female,48.6034557,normal
0,Female,53.73967922,normal
0,Female,58.32878201,Tall
0,Female,59.36107227,Tall
0,Female,47.80511864,normal
0,Female,46.10273916,normal
0,Female,44.96687732,stunted
0,Female,51.80580277,normal
0,Female,46.07649729,normal
0,Female,44.49572701,stunted
0,Female,57.01899754,Tall
0,Female,44.77210445,stunted
0,Female,55.7384462,Tall
0,Female,51.98333792,normal
0,Female,41.05713718,severely stunted
0,Female,56.4600827,Tall
0,Female,50.28017482,normal
0,Female,57.41851811,Tall
0,Female,46.00591867,normal
0,Female,43.64799052,stunted
0,Female,55.31261247,Tall
0,Female,57.35792679,Tall
0,Female,49.09607501,normal
0,Female,54.25075509,normal
0,Female,59.03250554,Tall
0,Female,51.74835533,normal
0,Female,45.11790314,stunted
0,Female,46.70813382,normal
0,Female,45.0209273,stunted
0,Female,53.56107266,normal
0,Female,52.04196323,normal
0,Female,43.58476284,severely stunted
0,Female,40.28547305,severely stunted
0,Female,55.82173274,Tall
0,Female,51.65448108,normal
0,Female,59.75863454,Tall
0,Female,48.38535426,normal
0,Female,44.03538093,stunted
0,Female,48.24797276,normal
0,Female,59.75810119,Tall
0,Female,44.80295343,stunted
0,Female,40.79718332,severely stunted
0,Female,56.51924511,Tall
0,Female,56.75325541,Tall
0,Female,46.98074906,normal
0,Female,46.48050968,normal
0,Female,40.25237965,severely stunted
0,Female,54.84802196,Tall
0,Female,50.40010868,normal
0,Female,43.11615193,severely stunted
0,Female,53.36162075,normal
0,Female,57.00498182,Tall
0,Female,48.33711941,normal
0,Female,54.99637726,Tall
0,Female,55.53750992,Tall
0,Female,50.66226452,normal
0,Female,46.1919132,normal
0,Female,41.20803336,severely stunted
0,Female,45.23240591,stunted
0,Female,47.04016472,normal
0,Female,52.74390759,normal
0,Female,59.48136925,Tall
0,Female,40.53960028,severely stunted
0,Female,54.25287802,normal
0,Female,54.12305524,normal
0,Female,42.98808904,severely stunted
0,Female,48.70255939,normal
0,Female,55.2944054,Tall
0,Female,48.58991186,normal
0,Female,43.00233467,severely stunted
0,Female,48.12183961,normal
0,Female,50.58995506,normal
0,Female,42.41984914,severely stunted
0,Female,50.98419027,normal
0,Female,43.01665508,severely stunted
0,Female,50.86744718,normal
0,Female,44.93253915,stunted
0,Female,50.08950854,normal
0,Female,51.47532303,normal
0,Female,49.29863832,normal
0,Female,55.66991092,Tall
0,Female,47.80063455,normal
0,Female,47.47747361,normal
0,Female,57.4588574,Tall
0,Female,54.19097728,normal
0,Female,52.25009996,normal
0,Female,50.03205625,normal
0,Female,42.91151423,severely stunted
0,Female,44.04739876,stunted
0,Female,43.58331692,severely stunted
0,Female,45.72263261,normal
0,Female,57.17988064,Tall
0,Female,41.49162747,severely stunted
0,Female,55.63953291,Tall
0,Female,45.85035351,normal
0,Female,43.43517767,severely stunted
0,Female,52.65939018,normal
0,Female,49.36817734,normal
0,Female,55.38410969,Tall
0,Female,58.06611191,Tall
0,Female,58.52399645,Tall
0,Female,49.04440452,normal
0,Female,45.23544691,stunted
0,Female,49.00852463,normal
0,Female,58.38048431,Tall
0,Female,41.93614474,severely stunted
0,Female,45.1033497,stunted
0,Female,43.7898119,stunted
0,Female,49.78203184,normal
0,Female,42.90898194,severely stunted
0,Female,43.32586991,severely stunted
0,Female,45.78966743,normal
0,Female,44.34281318,stunted
0,Female,47.20318602,normal
0,Female,41.84796287,severely stunted
0,Female,52.29043749,normal
0,Female,50.47067085,normal
0,Female,55.88664562,Tall
0,Female,43.131562,severely stunted
0,Female,40.02111038,severely stunted
0,Female,54.71637337,Tall
0,Female,49.13315206,normal
0,Female,59.9257646,Tall
0,Female,54.57185633,normal
0,Female,59.92367382,Tall
0,Female,40.26889126,severely stunted
0,Female,53.07030241,normal
0,Female,57.92157315,Tall
0,Female,57.21160953,Tall
0,Female,55.50496437,Tall
0,Female,49.30960934,normal
0,Female,46.81989481,normal
0,Female,58.25787221,Tall
0,Female,47.26108456,normal
0,Female,51.65852426,normal
0,Female,43.62365429,stunted
0,Female,59.2904549,Tall
0,Female,45.82392781,normal
0,Female,55.22212697,Tall
0,Female,52.38054597,normal
0,Female,48.97274545,normal
0,Female,46.31958687,normal
0,Female,46.78472651,normal
0,Female,49.78848731,normal
0,Female,54.62169503,normal
0,Female,44.33103339,stunted
0,Female,42.73688977,severely stunted
0,Female,58.25419219,Tall
0,Female,59.62963737,Tall
0,Female,59.56775458,Tall
0,Female,49.56981954,normal
0,Female,55.87639679,Tall
0,Female,51.5191261,normal
0,Female,48.10109485,normal
0,Female,43.5085481,severely stunted
0,Female,55.0059584,Tall
0,Female,53.64193701,normal
0,Female,43.23023375,severely stunted
0,Female,49.77264629,normal
0,Female,43.40682969,severely stunted
0,Female,54.84157002,Tall
0,Female,53.05470987,normal
0,Female,50.13017525,normal
0,Female,52.85695431,normal
0,Female,45.85933854,normal
0,Female,56.85385323,Tall
0,Female,49.60106226,normal
0,Female,51.11884911,normal
0,Female,58.61781941,Tall
0,Female,40.34032281,severely stunted
0,Female,40.17132247,severely stunted
0,Female,40.15281631,severely stunted
0,Female,46.58424683,normal
0,Female,52.03392574,normal
0,Female,58.51556418,Tall
0,Female,43.51580938,severely stunted
0,Female,54.22136098,normal
0,Female,58.25634959,Tall
0,Female,42.71694223,severely stunted
0,Female,53.27344118,normal
0,Female,54.7674464,Tall
0,Female,53.20220108,normal
0,Female,50.14509149,normal
0,Female,58.88986375,Tall
0,Female,52.91776727,normal
0,Female,53.54286519,normal
0,Female,42.29672211,severely stunted
0,Female,57.09793168,Tall
0,Female,49.68418012,normal
0,Female,50.13861518,normal
0,Female,51.84809847,normal
0,Female,50.87405987,normal
0,Female,44.56961213,stunted
0,Female,52.97412316,normal
0,Female,48.25868113,normal
0,Female,57.58806689,Tall
0,Female,54.41751353,normal
0,Female,55.81962321,Tall
0,Female,58.94318615,Tall
0,Female,58.3594191,Tall
0,Female,49.63396456,normal
0,Female,41.08406471,severely stunted
0,Female,46.30578096,normal
0,Female,54.93025053,Tall
0,Female,44.23933035,stunted
0,Female,40.89910074,severely stunted
0,Female,52.70195492,normal
0,Female,43.48816902,severely stunted
0,Female,43.99294061,stunted
0,Female,52.40200962,normal
0,Female,42.57456497,severely stunted
0,Female,58.27752117,Tall
0,Female,41.18573465,severely stunted
0,Female,53.51977551,normal
0,Female,57.04038772,Tall
0,Female,54.08332444,normal
0,Female,40.87018725,severely stunted
0,Female,40.15428303,severely stunted
0,Female,45.09009442,stunted
0,Female,44.20209899,stunted
0,Female,46.00058528,normal
0,Female,52.6142732,normal
0,Female,58.4457883,Tall
0,Female,56.4560249,Tall
0,Female,51.66682097,normal
0,Female,44.33520312,stunted
0,Female,49.45351379,normal
0,Female,47.25888643,normal
0,Female,53.30448242,normal
0,Female,41.68180742,severely stunted
0,Female,47.72735672,normal
0,Female,53.58372903,normal
0,Female,49.51620011,normal
0,Female,43.06729083,severely stunted
0,Female,59.01069527,Tall
0,Female,50.45273406,normal
0,Female,57.66594266,Tall
0,Female,55.65199404,Tall
0,Female,44.14200451,stunted
0,Female,48.7750784,normal
0,Female,48.43796883,normal
0,Female,57.94611942,Tall
0,Female,42.88866475,severely stunted
0,Female,54.58447304,normal
0,Female,49.6761105,normal
0,Female,41.32146156,severely stunted
0,Female,59.19786329,Tall
0,Female,47.05283177,normal
0,Female,57.00100172,Tall
0,Female,55.26603823,Tall
0,Female,46.21985197,normal
0,Female,43.10797854,severely stunted
0,Female,40.0294059,severely stunted
0,Female,55.2400402,Tall
0,Female,50.76353799,normal
0,Female,47.6318025,normal
0,Female,57.49239667,Tall
0,Female,56.13221853,Tall
0,Female,46.09868451,normal
0,Female,52.45920924,normal
0,Female,41.77152867,severely stunted
0,Female,56.39828169,Tall
0,Female,42.5382643,severely stunted
0,Female,59.2809234,Tall
0,Female,47.04684967,normal
0,Female,41.7567392,severely stunted
0,Female,57.8026006,Tall
0,Female,48.12086405,normal
0,Female,46.97673904,normal
0,Female,57.51255402,Tall
0,Female,46.38881998,normal
0,Female,47.5950861,normal
0,Female,45.52977885,normal
0,Female,49.21073672,normal
0,Female,55.08459899,Tall
0,Female,58.91405351,Tall
0,Female,48.28952905,normal
0,Female,46.01961645,normal
0,Female,40.60711365,severely stunted
0,Female,49.87503959,normal
0,Female,40.67952407,severely stunted
0,Female,58.00739609,Tall
0,Female,57.678260710000004,Tall
0,Female,54.60879297,normal
0,Female,55.82267793,Tall
0,Female,53.23192842,normal
0,Female,50.73768628,normal
0,Female,54.04321276,normal
0,Female,55.76603813,Tall
0,Female,47.43805935,normal
0,Female,54.49723347,normal
0,Female,51.43213129,normal
0,Female,55.07167992,Tall
0,Female,54.98509539,Tall
0,Female,58.2646415,Tall
0,Female,59.96292633,Tall
0,Female,49.08950478,normal
0,Female,46.11570226,normal
0,Female,53.53467587,normal
0,Female,53.10093478,normal
0,Female,45.8389758,normal
0,Female,47.67076813,normal
0,Female,40.9236281,severely stunted
0,Female,57.39590958,Tall
0,Female,48.27138001,normal
0,Female,51.7932437,normal
0,Female,45.80898496,normal
0,Female,49.71404001,normal
0,Female,50.74922301,normal
0,Female,46.31984388,normal
0,Female,55.5558576,Tall
0,Female,48.26246732,normal
0,Female,44.30399913,stunted
0,Female,43.26128457,severely stunted
0,Female,40.23662238,severely stunted
0,Female,46.66035568,normal
0,Female,44.16767293,stunted
0,Female,54.14516986,normal
0,Female,47.99223856,normal
0,Female,58.42657216,Tall
0,Female,58.6260379,Tall
0,Female,51.19399745,normal
0,Female,49.35519652,normal
0,Female,57.06046255,Tall
0,Female,58.37844348,Tall
0,Female,57.85838223,Tall
0,Female,45.103205,stunted
0,Female,51.64614407,normal
0,Female,54.46494866,normal
0,Female,41.93827587,severely stunted
0,Female,58.23834077,Tall
0,Female,54.04158196,normal
0,Female,57.05439882,Tall
0,Female,41.15791818,severely stunted
0,Female,46.08360522,normal
0,Female,49.66300675,normal
0,Female,43.1073314,severely stunted
0,Female,50.13701959,normal
0,Female,50.5160637,normal
0,Female,43.55651149,severely stunted
0,Female,48.58239994,normal
0,Female,43.26959343,severely stunted
0,Female,59.80671021,Tall
0,Female,56.89021665,Tall
0,Female,40.04325138,severely stunted
0,Female,53.82077052,normal
0,Female,50.19926915,normal
0,Female,40.37845077,severely stunted
0,Female,51.21269098,normal
0,Female,57.46831259,Tall
0,Female,56.99512977,Tall
0,Female,45.72930412,normal
0,Female,50.62939033,normal
0,Female,47.75581921,normal
0,Female,51.9272736,normal
0,Female,40.7158511,severely stunted
0,Female,53.28759146,normal
0,Female,50.92536896,normal
0,Female,54.44967235,normal
0,Female,53.6545509,normal
0,Female,56.58441771,Tall
0,Female,57.89217811,Tall
0,Female,43.05656548,severely stunted
0,Female,54.7919257,Tall
0,Female,48.35457201,normal
0,Female,43.71443885,stunted
0,Female,49.68268436,normal
0,Female,55.41508934,Tall
0,Female,42.49635304,severely stunted
0,Female,44.9948613,stunted
0,Female,47.21279301,normal
0,Female,54.33272035,normal
0,Female,57.27934905,Tall
0,Female,44.65891244,stunted
0,Female,53.39868163,normal
0,Female,59.60191271,Tall
0,Female,59.25921813,Tall
0,Female,46.97256256,normal
0,Female,42.32273851,severely stunted
0,Female,41.08057028,severely stunted
0,Female,48.67728412,normal
0,Female,45.17060347,stunted
0,Female,41.3549473,severely stunted
0,Female,45.47721339,normal
0,Female,55.61913294,Tall
0,Female,49.78116432,normal
0,Female,47.21618451,normal
0,Female,40.11529757,severely stunted
0,Female,51.92527228,normal
0,Female,40.08084114,severely stunted
0,Female,53.94538984,normal
0,Female,40.49849985,severely stunted
0,Female,50.7042629,normal
0,Female,49.34270092,normal
0,Female,42.43454717,severely stunted
0,Female,57.51490272,Tall
0,Female,40.60652647,severely stunted
0,Female,46.70052311,normal
0,Female,57.81169827,Tall
0,Female,59.69265554,Tall
0,Female,49.54230482,normal
0,Female,55.39396904,Tall
0,Female,49.90495818,normal
0,Female,46.20885195,normal
0,Female,42.59637836,severely stunted
0,Female,53.63694981,normal
0,Female,46.66719432,normal
0,Female,41.12222799,severely stunted
